start	end	text
0	880	Hãy đăng ký kênh để nhận thêm nhiều video mới nhé!
920	3780	Nếu bạn muốn có nhiều người theo dõi video của bạn, bạn cần nhiều người theo dõi video của bạn.
4020	4940	Hướng dẫn không phải như thế.
5100	6160	Hướng dẫn không phải như thế.
6160	6160	
6360	7400	Hướng dẫn không phải như thế.
7560	9040	Hướng dẫn không phải như thế.
9300	10120	Hướng dẫn không phải như thế.
10120	10500	Hướng dẫn không phải như thế.
10900	11840	Hướng dẫn không phải như thế.
12860	14200	Hướng dẫn không phải như thế.
15780	16660	Hướng dẫn không phải như thế.
17000	22500	Hướng dẫn không phải như thế.
22800	24780	Hướng dẫn không phải như thế.
24780	24980	Hướng dẫn không phải như thế.
25180	26800	Hướng dẫn không phải như thế.
26820	28740	Hướng dẫn không phải như thế.
28760	29740	Hướng dẫn không phải như thế.
29740	30620	Hướng dẫn không phải như thế.
30740	32740	Hướng dẫn không phải như thế.
33220	34560	Hướng dẫn không phải như thế.
34560	35220	Hướng dẫn không phải như thế.
35220	37620	Hướng dẫn không phải như thế.
37800	39000	Hướng dẫn không phải như thế.
39840	41020	Hướng dẫn không phải như thế.
41020	41340	Hướng dẫn không phải như thế.
41340	42840	Hướng dẫn không phải như thế.
43220	44640	Hướng dẫn không phải như thế.
45880	49480	Hướng dẫn không phải như thế.
